exercise_id,set_order,weight,reps,notes,rpe
4,2,85,15,"",
4,3,85,15,"",
4,4,55,10,"",
4,5,25,14,"",
23,1,85,10,"",8.5
23,2,85,10,"",
23,3,85,10,"",
23,4,85,9,"",
42,1,45,10,"",
42,2,45,12,"",
42,3,45,12,"",
25,1,32.5,11,"",
25,2,32.5,10,"",
25,3,32.5,10,"",
43,1,40,8,"",
43,2,40,8,"",
43,3,40,8,"",
26,1,24,10,"",
26,2,24,9,"",
26,3,24,9,"",
10,1,12.5,10,"",
10,2,12.5,10,"",
10,3,12.5,10,"",
12,1,20,15,"",
12,2,20,15,"",
12,3,20,15,"",
44,1,10,9,"",
44,2,10,9,"",
44,3,10,9,"",
13,1,0,7,"",
13,2,0,7,"",
13,3,0,7,"",
45,1,35,10,"",
45,2,35,10,"",
45,3,35,10,"",
46,1,55,10,"",
46,2,55,9,"",
46,3,55,9,"",
15,1,60,13,"",
15,2,60,13,"",
15,3,60,12,"",
17,1,25,15,"",
17,2,25,14,"",
17,3,25,13,"",
38,1,17.5,11,"",
38,2,17.5,10,"",
38,3,17.5,9,"",
1,1,125,10,"",
1,2,125,10,"",
1,3,125,9,"",
1,4,125,9,"",
2,1,22.5,10,"",
2,2,22.5,10,"",
2,3,22.5,10,"",
20,1,95,12,"",
20,2,105,10,"",
20,3,105,10,"",
3,1,85,14,"",
3,2,70,15,"",
3,3,70,15,"",
3,4,55,7,"",
3,5,25,6,"",
4,1,85,15,"",
4,2,85,13,"",
4,3,85,13,"",
4,4,55,12,"",
4,5,40,10,"",
47,1,35,10,"",
47,2,35,10,"",
47,3,35,10,"",
5,1,95,12,"",
5,2,95,10,"",
5,3,95,10,"",
5,4,95,7,"",
32,1,27.5,12,"",
32,2,27.5,11,"",
32,3,27.5,9,"",
48,1,22.5,11,"",
48,2,22.5,10,"",
48,3,22.5,9,"",
49,1,24,13,"",
49,2,24,13,"",
49,3,24,14,"",
10,1,12.5,12,"",
10,2,12.5,10,"",
10,3,12.5,10,"",
12,1,15,12,"",
12,2,15,12,"",
12,3,15,12,"",
45,1,35,11,"",
45,2,35,12,"",
45,3,35,12,"",
45,4,35,4,"",
37,1,70,10,"",
37,2,70,9,"",
37,3,70,9,"",
36,1,65,12,"",
36,2,65,12,"",
36,3,65,12,"",
50,1,25,15,"",
50,2,25,15,"",
50,3,25,13,"",
38,1,17.5,13,"",
38,2,17.5,11,"",
38,3,17.5,10,"",
39,1,30,12,"",
39,2,30,12,"",
39,3,30,12,"",
47,1,35,14,"",
47,2,35,10,"",
47,3,35,10,"",
40,1,160,6,"",
40,2,160,6,"",
40,3,160,6,"",
40,4,160,6,"",
29,1,42.5,12,"",
29,2,42.5,12,"",
29,3,42.5,10,"",
21,1,32.5,20,"",
21,2,32.5,20,"",
21,3,32.5,15,"",
3,1,85,15,"",
3,2,85,15,"",
3,3,85,15,"",
3,4,85,9,"",
3,5,85,8,"",
4,1,100,15,"",
4,2,100,14,"",
4,3,100,10,"",
4,4,70,10,"",
4,5,40,10,"",
47,1,35,12,"",
47,2,35,12,"",
47,3,35,12,"",
51,1,60,12,"",
51,2,60,12,"",
51,3,60,12,"",
23,1,85,10,"",
23,2,85,11,"",
23,3,85,10,"",
25,1,32.5,12,"",
25,2,32.5,12,"",
25,3,32.5,11,"",
42,1,50,9,"",
42,2,50,9,"",
42,3,50,9,"",
48,1,22.5,10,"",
48,2,22.5,10,"",
48,3,22.5,9,"",
26,1,24,10,"",
26,2,12,13,"",
26,3,12,13,"",
27,1,25,12,"",
27,2,25,11,"",
27,3,25,11,"",
52,1,10,8,"",
52,2,10,8,"",
52,3,10,8,"",
35,1,85,10,"",
35,2,85,11,"",
35,3,85,10,"",
35,4,85,10,"",
37,1,70,10,"",
37,2,70,9,"",
37,3,70,9,"",
46,1,57.5,10,"",
46,2,57.5,10,"",
46,3,57.5,10,"",
53,1,70,11,"",
53,2,70,10,"",
53,3,70,10,"",
50,1,25,15,"",
50,2,25,15,"",
50,3,25,15,"",
38,1,17.5,12,"",
38,2,17.5,12,"",
38,3,17.5,10,"",
39,1,30,12,"",
39,2,30,12,"",
1,1,125,11,"",
1,2,125,11,"",
1,3,125,9,"",
1,4,125,8,"",
2,1,22.5,12,"",
2,2,22.5,12,"",
2,3,22.5,12,"",
20,1,105,12,"",
20,2,105,12,"",
20,3,105,10,"",
47,1,25,12,"",
47,2,25,12,"",
47,3,25,12,"",
3,1,70,15,"",
3,2,70,15,"",
3,3,70,15,"",
4,1,85,15,"",
4,2,100,15,"",
4,3,100,13,"",
5,1,95,12,"",
5,2,95,12,"",
5,3,95,10,"",
5,4,95,10,"",
48,1,22.5,8,"",
48,2,22.5,7,"",
48,3,22.5,7,"",
32,1,27.5,10,"",
32,2,27.5,9,"",
32,3,27.5,10,"",
8,1,24,10,"",
8,2,24,10,"",
8,3,24,10,"",
10,1,10,15,"",
10,2,10,15,"",
10,3,10,15,"",
44,1,10,12,"",
44,2,10,12,"",
44,3,10,12,"",
52,1,10,10,"",
52,2,10,10,"",
54,1,85,12,"",
54,2,85,12,"",
54,3,85,12,"",
54,4,85,10,"",
55,1,35,10,"",
55,2,35,10,"",
55,3,35,10,"",
53,1,75,12,"",
53,2,75,12,"",
53,3,75,12,"",
19,1,190,12,"",
19,2,190,13,"",
19,3,190,15,"",
19,4,190,15,"",
56,1,190,10,"",
56,2,190,10,"",
56,3,190,10,"",
56,4,190,10,"",
29,1,42.5,12,"",
29,2,42.5,12,"",
29,3,42.5,10,"",
21,1,32.5,20,"",
21,2,32.5,20,"",
21,3,32.5,15,"",
3,1,90,17,"",
3,2,100,15,"",
3,3,100,15,"",
3,4,60,11,"",
3,5,30,11,"",
4,1,55,12,"",
4,2,55,12,"",
4,3,55,12,"",
4,4,40,11,"",
4,5,20,11,"",
23,1,85,10,"",
23,2,85,11,"",
23,3,85,10,"",
42,1,50,9,"",
42,2,50,9,"",
42,3,50,9,"",
25,1,32.5,12,"",
25,2,32.5,12,"",
25,3,32.5,11,"",
6,1,25,13,"",
6,2,25,12,"",
6,3,25,10,"",
10,1,10,15,"",
10,2,10,15,"",
10,3,10,15,"",
44,1,10,15,"",
44,2,10,15,"",
44,3,10,15,"",
52,1,10,10,"",
52,2,10,10,"",
1,1,125,12,"",
1,2,125,12,"",
1,3,125,12,"",
1,4,125,10,"",
20,1,105,10,"",
20,2,105,10,"",
20,3,105,10,"",
2,1,22.5,12,"",
2,2,22.5,12,"",
2,3,22.5,12,"",
4,1,100,12,"",
4,2,100,12,"",
4,3,100,12,"",
3,1,85,13,"",
3,2,85,12,"",
5,1,100,10,"",
5,2,100,10,"",
5,3,100,8,"",
5,4,100,6,"",
32,1,27.5,12,"",
32,2,27.5,12,"",
32,3,27.5,10,"",
48,1,22.5,10,"",
48,2,22.5,10,"",
48,3,22.5,10,"",
34,1,50,12,"",
34,2,50,12,"",
34,3,50,8,"",
49,1,24,12,"",
49,2,24,12,"",
49,3,24,12,"",
10,1,10,17,"",
10,2,10,13,"",
10,3,10,12,"",
52,1,7.5,12,"",
52,2,7.5,12,"",
52,3,7.5,12,"",
35,1,85,10,"",
35,2,85,10,"",
35,3,85,10,"",
35,4,85,10,"",
46,1,55,10,"",
46,2,55,10,"",
46,3,55,10,"",
37,1,70,10,"",
37,2,70,9,"",
37,3,70,9,"",
50,1,27.5,14,"",
50,2,27.5,12,"",
50,3,27.5,11,"",
39,1,35,13,"",
39,2,35,12,"",
39,3,35,10,"",
40,1,165,6,"",
40,2,165,6,"",
40,3,165,6,"",
40,4,165,6,"",
57,1,90,13,"",
57,2,90,15,"",
57,3,90,13,"",
29,1,42.5,10,"",
29,2,42.5,10,"",
29,3,42.5,10,"",
3,1,40,12,"",
3,2,40,12,"",
3,3,40,12,"",
3,4,25,4,"",
4,1,40,15,"",
4,2,40,15,"",
4,3,40,12,"",
51,1,60,15,"",
51,2,60,15,"",
51,3,60,15,"",
47,1,25,15,"",
47,2,25,15,"",
47,3,25,12,"",
23,1,85,12,"",
23,2,85,11,"",
23,3,85,8,"",
42,1,50,8,"",
42,2,50,10,"",
42,3,50,10,"",
25,1,32.5,12,"",
25,2,32.5,12,"",
25,3,32.5,12,"",
24,1,22.5,10,"",
24,2,22.5,10,"",
24,3,22.5,10,"",
26,1,12,12,"",
26,2,12,12,"",
26,3,12,12,"",
10,1,10,12,"",
10,2,10,12,"",
10,3,10,12,"",
44,1,10,12,"",
44,2,10,11,"",
44,3,10,10,"",
52,1,7.5,12,"",
52,2,7.5,15,"",
52,3,7.5,11,"",
13,1,0,8,"",
13,2,0,8,"",
13,3,0,8,"",
13,4,0,6,"",
58,1,65,12,"",
58,2,65,12,"",
58,3,65,12,"",
53,1,60,12,"",
53,2,60,12,"",
53,3,60,12,"",
50,1,27.5,14,"",
50,2,27.5,14,"",
50,3,27.5,13,"",
38,1,17.5,12,"",
38,2,17.5,12,"",
38,3,17.5,10,"",
59,1,17.5,8,"",
59,2,17.5,8,"",
59,3,17.5,8,"",
1,1,130,10,"",
1,2,130,10,"",
1,3,130,8,"",
1,4,130,8,"",
20,1,105,12,"",
20,2,105,12,"",
20,3,105,12,"",
2,1,25,10,"",
2,2,25,10,"",
2,3,25,10,"",
3,1,40,12,"",
4,1,40,15,"",
4,2,40,15,"",
4,3,40,12,"",
51,1,60,15,"",
51,2,60,15,"",
51,3,60,15,"",
5,1,100,12,"",
5,2,100,10,"",
5,3,100,10,"",
5,4,100,7,"",
32,1,30,11,"",
32,2,30,11,"",
32,3,30,225,"",
48,1,22.5,12,"",
48,2,22.5,10,"",
48,3,22.5,10,"",
49,1,10,12,"",
49,2,12.5,15,"",
49,3,12.5,13,"",
10,1,12.5,12,"",
10,2,12.5,13,"",
10,3,12.5,13,"",
44,1,12.5,12,"",
44,2,12.5,9,"",
44,3,12.5,8,"",
52,1,7.5,13,"",
52,2,7.5,12,"",
52,3,7.5,11,"",
45,1,35,10,"",
45,2,35,10,"",
45,3,35,10,"",
36,1,65,12,"",
36,2,65,10,"",
36,3,65,10,"",
37,1,72.5,10,"",
37,2,72.5,10,"",
37,3,72.5,10,"",
50,1,27.5,15,"",
50,2,27.5,15,"",
50,3,27.5,13,"",
60,1,17.5,14,"",
60,2,17.5,13,"",
60,3,17.5,10,"",
59,1,17.5,9,"",
59,2,17.5,9,"",
59,3,17.5,9,"",
40,1,170,6,"",
40,2,170,6,"",
40,3,170,6,"",
40,4,170,6,"",
29,1,42.5,10,"",
29,2,42.5,10,"",
29,3,42.5,10,"",
57,1,115,12,"",
57,2,115,12,"",
57,3,115,12,"",
47,1,25,15,"",
47,2,25,15,"",
47,3,25,12,"",
23,1,85,11,"",
23,2,85,10,"",
23,3,85,8,"",
34,1,75,10,"",
34,2,75,10,"",
34,3,75,10,"",
48,1,22.5,12,"",
48,2,22.5,12,"",
48,3,22.5,10,"",
10,1,12.5,12,"",
10,2,12.5,12,"",
44,1,12.5,10,"",
44,2,12.5,9,"",
44,3,12.5,9,"",
45,1,35,10,"",
45,2,35,10,"",
45,3,35,10,"",
45,4,35,10,"",
36,1,65,12,"",
36,2,65,12,"",
36,3,65,12,"",
50,1,30,12,"",
50,2,30,11,"",
50,3,30,10,"",
38,1,17.5,15,"",
38,2,17.5,12,"",
38,3,17.5,10,"",
42,1,55,10,"",
42,2,55,10,"",
42,3,55,10,"",
53,1,60,10,"",
53,2,60,10,"",
53,3,60,10,"",
48,1,25,11,"",
48,2,25,10,"",
48,3,25,10,"",
10,1,12.5,12,"",
10,2,12.5,10,"",
10,3,12.5,10,"",
60,1,17.5,12,"",
60,2,17.5,12,"",
60,3,17.5,10,"",
39,1,30,15,"",
39,2,40,10,"",
39,3,40,10,"",
52,1,7.5,15,"",
1,1,130,12,"",
1,2,130,10,"",
1,3,130,8,"",
1,4,130,8,"",
20,1,105,12,"",
20,2,105,12,"",
20,3,105,12,"",
51,1,60,15,"",
51,2,60,15,"",
51,3,60,15,"",
2,1,25,10,"",
2,2,25,10,"",
2,3,25,10,"",
3,1,40,15,"",
3,2,40,15,"",
3,3,40,15,"",
3,4,25,4,"",
3,5,10,4,"",
4,1,40,15,"",
4,2,40,15,"",
4,3,40,15,"",
47,1,25,15,"",
47,2,25,15,"",
47,3,25,15,"",
5,1,105,8,"",
5,2,105,8,"",
5,3,105,8,"",
5,4,105,8,"",
26,1,12,12,"",
26,2,12,12,"",
26,3,12,12,"",
32,1,30,12,"",
32,2,30,12,"",
32,3,30,9,"",
9,1,0,7,"",
9,2,0,9,"",
9,3,0,8,"",
44,1,10,12,"",
44,2,10,12,"",
44,3,10,10,"",
52,1,10,12,"",
52,2,10,12,"",
52,3,10,10,"",
45,1,35,10,"",
45,2,35,12,"",
45,3,35,12,"",
45,4,35,10,"",
61,1,40,15,"",
61,2,40,15,"",
61,3,40,15,"",
36,1,65,12,"",
36,2,65,12,"",
36,3,65,12,"",
50,1,27.5,12,"",
50,2,27.5,12,"",
50,3,27.5,12,"",
38,1,17.5,15,"",
38,2,17.5,12,"",
38,3,17.5,10,"",
39,1,35,12,"",
39,2,35,12,"",
39,3,35,12,"",
40,1,175,6,"",
40,2,175,6,"",
40,3,175,6,"",
40,4,175,6,"",
57,1,115,15,"",
57,2,115,15,"",
57,3,115,13,"",
29,1,45,8,"",
29,2,45,8,"",
29,3,45,8,"",
3,1,40,15,"",
3,2,40,15,"",
3,3,40,14,"",
4,1,40,15,"",
4,2,40,15,"",
4,3,40,14,"",
51,1,60,15,"",
51,2,60,15,"",
51,3,60,15,"",
48,1,25,12,"",
48,2,25,12,"",
48,3,25,10,"",
48,4,25,9,"",
53,1,60,11,"",
53,2,60,11,"",
53,3,60,10,"",
42,1,55,11,"",
42,2,55,9,"",
42,3,55,9,"",
62,1,5,13,"",
62,2,5,10,"",
62,3,5,10,"",
59,1,17.5,10,"",
59,2,17.5,8,"",
59,3,17.5,8,"",
60,1,17.5,9,"",
60,2,17.5,9,"",
60,3,17.5,8,"",
52,1,10,12,"",
52,2,10,12,"",
52,3,10,12,"",
1,1,135,6,"",
1,2,135,6,"",
1,3,135,6,"",
1,4,135,6,"",
1,5,135,6,"",
20,1,110,12,"",
20,2,110,12,"",
20,3,110,9,"",
2,1,25,12,"",
2,2,25,12,"",
2,3,25,12,"",
3,1,40,13,"",
3,2,40,11,"",
3,3,40,9,"",
4,1,40,17,"",
4,2,40,15,"",
4,3,40,15,"",
51,1,80,15,"",
51,2,80,15,"",
51,3,80,15,"",
47,1,25,12,"",
47,2,25,12,"",
47,3,25,12,"",
5,1,110,6,"",
5,2,110,6,"",
5,3,110,5,"",
5,4,110,6,"",
5,5,110,5,"",
32,1,30,13,"",
32,2,30,12,"",
32,3,30,10,"",
32,4,30,10,"",
8,1,10,15,"",
8,2,10,12,"",
8,3,10,12,"",
9,1,0,11,"",
9,2,0,10,"",
9,3,0,9,"",
27,1,25,12,"",
27,2,25,12,"",
27,3,25,12,"",
63,1,7.5,10,"",
63,2,7.5,8,"",
63,3,7.5,8,"",
45,1,45,11,"",
45,2,45,10,"",
45,3,45,10,"",
45,4,45,10,"",
37,1,85,10,"",
37,2,85,10,"",
37,3,85,10,"",
36,1,65,13,"",
36,2,65,13,"",
36,3,65,13,"",
50,1,30,10,"",
50,2,30,10,"",
50,3,30,10,"",
38,1,17.5,15,"",
38,2,17.5,13,"",
38,3,17.5,11,"",
39,1,30,11,"",
39,2,30,11,"",
39,3,30,11,"",
40,1,180,6,"",
40,2,180,6,"",
40,3,180,6,"",
40,4,180,4,"",
57,1,115,15,"",
57,2,125,13,"",
57,3,125,10,"",
29,1,42.5,10,"",
29,2,42.5,10,"",
29,3,42.5,10,"",
51,1,80,15,"",
51,2,80,15,"",
47,1,35,12,"",
47,2,35,12,"",
47,3,35,12,"",
3,1,40,12,"",
3,2,40,11,"",
3,3,40,10,"",
3,4,25,8,"",
3,5,10,4,"",
4,1,40,18,"",
4,2,55,10,"",
4,3,55,10,"",
42,1,65,10,"",
42,2,65,10,"",
42,3,65,10,"",
53,1,75,11,"",
53,2,75,11,"",
53,3,75,11,"",
53,4,75,11,"",
48,1,25,12,"",
48,2,30,10,"",
48,3,30,10,"",
48,4,30,10,"",
39,1,40,11,"",
39,2,40,11,"",
39,3,40,11,"",
10,1,10,13,"",
10,2,10,13,"",
10,3,10,13,"",
59,1,15,11,"",
59,2,15,11,"",
59,3,15,11,"",
12,1,15,12,"",
12,2,15,12,"",
12,3,15,12,"",
1,1,140,6,"",
1,2,140,6,"",
1,3,140,6,"",
1,4,140,6,"",
1,5,140,4,"",
20,1,110,10,"",
2,1,30,10,"",
2,2,30,10,"",
2,3,30,10,"",
5,1,110,6,"",
5,2,115,5,"",
5,3,115,5,"",
5,4,115,4,"",
6,1,40,12,"",
6,2,40,12,"",
6,3,40,10,"",
64,1,75,10,"",
64,2,75,10,"",
64,3,75,10,"",
9,1,0,14,"",
9,2,0,11,"",
9,3,0,8,"",
63,1,7.5,10,"",
63,2,7.5,8,"",
63,3,7.5,8,"",
40,1,185,6,"",
40,2,185,4,"",
40,3,185,4,"",
40,4,185,4,"",
40,5,185,4,"",
57,1,125,13,"",
57,2,125,13,"",
57,3,125,11,"",
29,1,45,10,"",
29,2,45,10,"",
29,3,45,7,"",
3,1,85,15,"",
3,2,85,13,"",
3,3,85,10,"",
3,4,55,8,"",
3,5,25,6,"",
4,1,100,13,"",
4,2,100,10,"",
4,3,100,8,"",
4,4,70,6,"",
4,5,40,10,"",
47,1,35,12,"",
47,2,35,10,"",
47,3,35,10,"",
42,1,55,10,"",
42,2,60,8,"",
42,3,60,6,"",
42,4,60,5,"",
53,1,70,12,"",
53,2,70,12,"",
53,3,70,10,"",
48,1,27.5,12,"",
48,2,27.5,11,"",
48,3,27.5,8,"",
10,1,12.5,13,"",
10,2,12.5,12,"",
10,3,12.5,10,"",
38,1,17.5,14,"",
38,2,17.5,10,"",
38,3,17.5,8,"",
39,1,40,9,"",
39,2,40,9,"",
39,3,40,9,"",
44,1,12.5,11,"",
44,2,12.5,8,"",
44,3,12.5,7,"",
63,1,7.5,15,"",
63,2,7.5,14,"",
63,3,7.5,12,"",
1,1,145,6,"",
1,2,145,6,"",
1,3,145,6,"",
1,4,145,6,"",
1,5,145,5,"",
20,1,115,12,"",
20,2,115,12,"",
20,3,115,10,"",
2,1,27.5,12,"",
2,2,27.5,12,"",
2,3,27.5,12,"",
3,1,70,15,"",
3,2,70,14,"",
3,3,70,12,"",
3,4,70,6,"",
3,5,70,5,"",
4,1,100,15,"",
4,2,100,11,"",
4,3,100,11,"",
4,4,70,7,"",
4,5,40,10,"",
47,1,25,15,"",
47,2,25,15,"",
47,3,25,15,"",
51,1,80,15,"5 more with left",
51,2,60,15,"",
51,3,60,15,"",
5,1,115,6,"",
5,2,115,6,"",
5,3,115,6,"",
5,4,115,4,"",
5,5,115,4,"",
32,1,30,14,"",
32,2,30,12,"",
32,3,30,6,"",
32,4,30,8,"",
26,1,12,10,"",
26,2,12,11,"",
26,3,12,10,"",
9,1,0,12,"",
9,2,0,10,"",
9,3,0,9,"",
44,1,10,12,"",
44,2,10,12,"",
44,3,10,12,"",
63,1,7.5,12,"",
63,2,7.5,12,"",
63,3,7.5,12,"",
45,1,45,10,"",
45,2,45,10,"",
45,3,45,8,"",
61,1,40,15,"",
61,2,42.5,15,"",
61,3,42.5,14,"",
36,1,80,10,"",
36,2,80,8,"",
36,3,80,8,"",
50,1,30,13,"",
50,2,30,12,"",
50,3,30,11,"",
65,1,17.5,12,"",
65,2,17.5,12,"",
65,3,17.5,12,"",
60,1,17.5,9,"",
60,2,17.5,8,"",
60,3,17.5,8,"",
40,1,185,6,"",
40,2,185,6,"",
40,3,185,6,"",
40,4,185,4,"",
57,1,125,15,"",
57,2,125,11,"",
57,3,125,10,"",
3,1,70,15,"",
3,2,55,15,"",
3,3,55,15,"",
3,4,40,10,"",
3,5,25,10,"",
4,1,85,15,"",
4,2,85,15,"",
4,3,85,11,"",
4,4,70,10,"",
4,5,40,10,"",
47,1,25,15,"",
47,2,25,14,"",
47,3,25,12,"",
51,1,60,15,"",
51,2,60,15,"",
51,3,60,15,"",
42,1,60,8,"",
42,2,60,8,"",
42,3,60,6,"",
42,4,60,5,"",
48,1,27.5,9,"",
48,2,25,9,"",
48,3,25,8,"",
48,4,25,7,"",
10,1,10,12,"",
10,2,10,12,"",
10,3,10,12,"",
38,1,20,8,"",
38,2,20,10,"",
38,3,20,8,"",
63,1,7.5,15,"",
63,2,7.5,15,"",
63,3,7.5,15,"",
1,1,150,6,"",
1,2,150,4,"",
1,3,150,4,"",
1,4,150,3,"",
20,1,115,12,"",
20,2,115,12,"",
20,3,115,8,"",
2,1,30,10,"",
2,2,30,8,"",
2,3,30,8,"",
3,1,55,16,"",
3,2,55,15,"",
3,3,55,15,"",
3,4,10,10,"",
4,1,85,15,"",
4,2,85,14,"",
4,3,85,12,"",
4,4,25,10,"",
47,1,25,15,"",
47,2,25,14,"",
47,3,25,12,"",
51,1,60,15,"",
51,2,60,15,"",
51,3,60,15,"",
5,1,120,5,"",
5,2,120,5,"",
5,3,120,4,"",
5,4,120,4,"",
5,5,120,3,"",
32,1,30,12,"",
32,2,30,10,"",
32,3,30,8,"",
32,4,30,8,"",
49,1,24,12,"",
49,2,24,12,"",
49,3,24,10,"",
9,1,0,12,"",
9,2,0,8,"",
9,3,0,8,"",
44,1,10,12,"",
44,2,10,12,"",
44,3,10,12,"",
12,1,15,15,"",
12,2,15,12,"",
12,3,15,12,"",
40,1,190,5,"",
40,2,190,5,"",
40,3,190,4,"",
40,4,190,4,"",
57,1,125,15,"",
57,2,125,15,"",
57,3,125,11,"",
3,1,70,12,"",
3,2,55,12,"",
3,3,55,12,"",
3,4,25,8,"",
4,1,100,14,"",
4,2,85,15,"",
4,3,85,12,"",
4,4,40,8,"",
51,1,80,15,"",
51,2,60,15,"",
51,3,60,15,"",
47,1,25,15,"",
47,2,25,14,"",
47,3,25,12,"",
42,1,65,10,"",
42,2,65,10,"",
42,3,65,9,"",
42,4,65,8,"",
53,1,75,12,"",
53,2,75,12,"",
53,3,75,10,"",
48,1,25,12,"",
48,2,25,10,"",
48,3,25,10,"",
48,4,25,9,"",
10,1,10,12,"",
10,2,10,12,"",
10,3,10,12,"",
59,1,15,12,"",
59,2,15,12,"",
59,3,15,12,"",
38,1,15,12,"",
38,2,15,10,"",
38,3,15,8,"",
44,1,10,12,"",
44,2,10,12,"",
44,3,10,12,"",
1,1,150,5,"",
1,2,150,5,"",
1,3,150,4,"",
1,4,145,4,"",
1,5,145,4,"",
29,1,40,13,"",
29,2,40,11,"",
29,3,40,9,"",
2,1,25,11,"",
2,2,25,10,"",
2,3,25,7,"",
3,1,75,11,"",
3,2,60,10,"",
3,3,60,10,"",
4,1,50,10,"",
4,2,50,9,"",
4,3,40,11,"",
4,4,10,10,"",
51,1,45,15,"",
51,2,45,15,"",
51,3,45,15,"",
5,1,115,6,"",
5,2,115,6,"",
5,3,115,6,"",
5,4,115,6,"",
5,5,115,4,"",
32,1,35,10,"",
32,2,35,8,"",
32,3,35,8,"",
44,1,10,12,"",
44,2,10,12,"",
44,3,10,12,"",
45,1,45,10,"",
45,2,45,8,"",
45,3,45,6,"",
14,1,35,8,"",
14,2,25,8,"",
14,3,25,8,"",
46,1,60,10,"",
46,2,60,10,"",
46,3,60,10,"",
39,1,40,10,"",
39,2,40,10,"",
39,3,40,10,"",
19,1,190,12,"",
19,2,190,12,"",
19,3,190,12,"",
19,4,190,12,"",
29,1,40,13,"",
29,2,40,13,"",
